Concentracion[m],k_T10C,k_T15C,k_T20C,k_T26.5C,k_T35.5C,k_T45.25C,k_T52C,k_T60C
0.0003467646854844303,28.9,32.0,35.18,28.0,32.92,39.3,43.3,48.7
0.0013870587419377212,74.3,84.5,94.37,111.4,132.8,160.4,178.7,201.0
0.0020805881129065816,106.5,120.1,134.5,160.0,194.4,232.0,257.0,289.0
0.0027741174838754423,139.5,158.2,176.7,217.0,261.0,313.0,347.0,389.0
0.0034676468548443026,172.8,197.5,220.0,279.0,334.0,399.0,447.0,501.0
0.005201470282266454,232.0,269.0,306.0,403.0,491.0,596.0,679.0,782.0
0.01213676399195506,416.0,473.0,527.0,653.0,800.0,987.0,1133.0,1310.0
0.01387058741937721,451.0,516.0,576.0,703.0,867.0,1065.0,1219.0,1409.0
0.017338234274221515,515.0,591.0,661.0,775.0,951.0,1168.0,1333.0,1547.0
0.020805881129065815,581.0,666.0,746.0,908.0,1124.0,1381.0,1591.0,1836.0
0.026007351411332272,677.0,782.0,878.0,1058.0,1309.0,1605.0,1827.0,2110.0
